signed_motif_type,intensity,coherence,intensity_random_mean,intensity_random_std,intensity_z_score
201++++,58344.490307961525,17507.62141872283,60351.88975572002,338.77048711720556,-5.925544060347813
201+++-,8900.724939809708,2322.926081415659,9077.581582799849,188.84186091704342,-0.9365330447989592
201++-+,8721.362986681901,2260.5289513835105,9003.337376415353,242.81501514654997,-1.1612724590498142
201++--,45.35510032964858,14.944993317419737,51.39941698022793,7.692175694343868,-0.7857746482602834
201+-+-,408.52287401975155,87.4191884067091,347.510044589404,32.00774845505689,1.9061893564934012
201+--+,1123.673789775961,233.809136767785,672.6685294578457,62.72092232991977,7.190666902915939
201+---,5.929562207902546,1.987612277448243,4.907382570874672,3.8238451875327626,0.2673172126216251
201-+-+,563.9755517389073,116.59751036377325,314.01113964609874,55.63936965809821,4.492581667061116
201-+--,8.292411592929277,1.7747199286551303,4.793206175440077,4.071402535566747,0.8594594582385363
201----,0.0,0.0,0.0,1.2000000000000002,0.0
120D++++,67290.51595987589,20264.22673794499,62497.86387982279,230.76122230099526,20.76887976352355
120D+++-,6543.21930003956,1849.0860666878323,9359.111923848168,209.94635151061522,-13.412438956655228
120D++--,20.924905050564078,6.975910072053041,33.26085423352114,9.968925477501628,-1.2374402046436648
120D+-++,5713.6791648908375,1649.4318788958194,9406.749954619054,123.24767600447629,-29.964628214118097
120D+-+-,825.6100757701197,177.25612752020652,705.1646518211642,58.34343855456471,2.0644210717253317
120D+--+,864.7752186965699,178.5741879936052,733.6947418012295,62.83864985222447,2.085984934488535
120D+---,0.0,0.0,5.243495536683865,5.607570191931907,-0.9350744363803296
120D--++,399.1177884168698,90.33635996517643,373.1692182391804,25.25786571749039,1.0273461134018436
120D--+-,95.81978955257985,18.78493049507099,58.40360921165338,19.574867786206404,1.9114397476182237
120D----,4.6461888931696596,0.8853764219600195,0.0,1.2000000000000002,3.8718240776413824
120U++++,68283.2965598015,20532.35902077833,63208.05797638552,253.97994130703643,19.98283233430833
120U+++-,6680.649256639509,1867.0089100928021,9468.844061683048,185.1491888101296,-15.0591791568843
120U++--,26.573523520740125,8.971123162941858,24.494119685775246,7.349842188095065,0.28291816092772726
120U+-++,5794.399613874095,1670.8105072161998,9745.80996965113,185.81800815830195,-21.26494840269062
120U+-+-,752.0061775840895,161.09148132630835,744.121010547007,59.66989886260498,0.1321464790017288
120U+--+,731.1017892595197,158.82837491566963,697.2048237407505,54.992040200400666,0.6163976712855661
120U+---,6.024705585278289,1.9935852990995366,4.734979871426399,3.168118138330284,0.4070952084291982
120U--++,585.770849020429,129.75637702856463,371.43399724442156,24.84656994915358,8.626416129656116
120U--+-,55.04385766681781,10.939336157661982,54.684595002535886,22.56293978222295,0.015922688610150865
120U----,0.0,0.0,0.0,1.2000000000000002,0.0
120C++++,133576.7735842881,40277.66147717085,124937.98442601998,789.9053342797606,10.936486669184253
120C+++-,6658.303734411216,1876.2950538567684,9444.838967205034,127.8880723709485,-21.788859438832365
120C++-+,6325.544190353975,1804.7672973691172,9316.022479871035,125.43260029587056,-23.84131623248754
120C++--,42.83081875982779,13.914069945700914,57.13976381358648,12.672203200782869,-1.1291600069098244
120C+-++,5550.9025244148415,1627.8122077119547,9619.816188980121,246.43360421734405,-16.511196504583317
120C+-+-,759.9794316655259,164.09209709721537,736.6784289143543,96.27185851156297,0.24203337414923787
120C+--+,833.2047129795415,175.75968971506578,712.2662074671608,66.21245784379263,1.8265219182422863
120C+---,0.0,0.0,2.6876873905139513,3.0926918883399392,-0.869044666443193
120C-+++,5729.637859090628,1653.8556476561544,9506.788382223234,244.21047631322932,-15.466783326231903
120C-++-,681.488303291694,152.6165212389712,715.5902459456546,60.84993145768939,-0.5604269690537381
120C-+-+,782.3088104295596,171.85357545398932,711.3989454014711,67.842669845479,1.045210413882523
120C-+--,2.949118368453815,0.9968398711298511,4.865843683441531,3.3797712455456184,-0.5671168773667362
120C--++,668.4994122159178,161.24513146462073,742.8155600218581,47.35837177673137,-1.569229367857071
120C--+-,56.83927385995695,12.336849549673847,53.85913950863163,10.49512002744723,0.2839542895680621
120C---+,62.13049947632959,13.117543950686409,58.471361694055815,17.30261800165548,0.2114788514618814
120C----,0.0,0.0,1.0774396486919726,1.7598168302290509,-0.6122453372330444
210+++++,75017.37362052855,22617.80760212194,67470.52465088139,397.1299426932533,19.00347508038803
210++++-,3359.2404283557808,972.5060006989906,5004.7005345906955,133.49905416932563,-12.325631192471741
210+++-+,3102.93816253666,906.98844826695,4928.142086255408,192.8387943384453,-9.464920842200401
210+++--,33.93136802797563,10.907789478882114,31.705926419063854,10.213223016923626,0.2178980724521682
210++-++,3347.436046021241,986.2467513103982,4847.990566264742,125.81920147641895,-11.92627597882772
