motif_type,intensity,binary_count,intensity_random_mean,intensity_random_std,intensity_z_score
201++--,0.0,0,0.0,1.2000000000000002,0.0
201+-+-,0.0,0,0.0,1.2000000000000002,0.0
201+--+,0.0,0,0.0,1.2000000000000002,0.0
201+---,0.0,0,0.0,1.2000000000000002,0.0
201-+-+,0.0,0,0.0,1.2000000000000002,0.0
201-+--,0.0,0,0.0,1.2000000000000002,0.0
201----,0.0,0,0.0,1.2000000000000002,0.0
120D++++,0.0,0,0.0,1.2000000000000002,0.0
120D+++-,0.0,0,0.0,1.2000000000000002,0.0
120D++--,0.0,0,0.0,1.2000000000000002,0.0
120D+-++,0.0,0,0.0,1.2000000000000002,0.0
120D+-+-,0.0,0,0.0,1.2000000000000002,0.0
120D+--+,0.0,0,0.0,1.2000000000000002,0.0
120D+---,0.0,0,0.0,1.2000000000000002,0.0
120D--++,0.0,0,0.0,1.2000000000000002,0.0
120D--+-,0.0,0,0.0,1.2000000000000002,0.0
120D----,0.0,0,0.0,1.2000000000000002,0.0
120U++++,0.0,0,0.0,1.2000000000000002,0.0
120U+++-,0.0,0,0.0,1.2000000000000002,0.0
120U++--,0.0,0,0.0,1.2000000000000002,0.0
120U+-++,0.0,0,0.0,1.2000000000000002,0.0
120U+-+-,0.0,0,0.0,1.2000000000000002,0.0
120U+--+,0.0,0,0.0,1.2000000000000002,0.0
120U+---,0.0,0,0.0,1.2000000000000002,0.0
120U--++,0.0,0,0.0,1.2000000000000002,0.0
120U--+-,0.0,0,0.0,1.2000000000000002,0.0
120U----,0.0,0,0.0,1.2000000000000002,0.0
120C++++,0.0,0,0.0,1.2000000000000002,0.0
120C+++-,0.0,0,0.0,1.2000000000000002,0.0
120C++-+,0.0,0,0.0,1.2000000000000002,0.0
120C++--,0.0,0,0.0,1.2000000000000002,0.0
120C+-++,0.0,0,0.0,1.2000000000000002,0.0
120C+-+-,0.0,0,0.0,1.2000000000000002,0.0
120C+--+,0.0,0,0.0,1.2000000000000002,0.0
120C+---,0.0,0,0.0,1.2000000000000002,0.0
120C-+++,0.0,0,0.0,1.2000000000000002,0.0
120C-++-,0.0,0,0.0,1.2000000000000002,0.0
120C-+-+,0.0,0,0.0,1.2000000000000002,0.0
120C-+--,0.0,0,0.0,1.2000000000000002,0.0
120C--++,0.0,0,0.0,1.2000000000000002,0.0
120C--+-,0.0,0,0.0,1.2000000000000002,0.0
120C---+,0.0,0,0.0,1.2000000000000002,0.0
120C----,0.0,0,0.0,1.2000000000000002,0.0
210+++++,0.0,0,0.0,1.2000000000000002,0.0
210++++-,0.0,0,0.0,1.2000000000000002,0.0
210+++-+,0.0,0,0.0,1.2000000000000002,0.0
210+++--,0.0,0,0.0,1.2000000000000002,0.0
210++-++,0.0,0,0.0,1.2000000000000002,0.0
210++-+-,0.0,0,0.0,1.2000000000000002,0.0
210++--+,0.0,0,0.0,1.2000000000000002,0.0
210++---,0.0,0,0.0,1.2000000000000002,0.0
210+-+++,0.0,0,0.0,1.2000000000000002,0.0
210+-++-,0.0,0,0.0,1.2000000000000002,0.0
210+-+-+,0.0,0,0.0,1.2000000000000002,0.0
210+-+--,0.0,0,0.0,1.2000000000000002,0.0
210+--++,0.0,0,0.0,1.2000000000000002,0.0
210+--+-,0.0,0,0.0,1.2000000000000002,0.0
210+---+,0.0,0,0.0,1.2000000000000002,0.0
210+----,0.0,0,0.0,1.2000000000000002,0.0
210-++++,0.0,0,0.0,1.2000000000000002,0.0
210-+++-,0.0,0,0.0,1.2000000000000002,0.0
